Step,Time_s,Height_m,Velocity_m/s,Potential_Energy_J,Kinetic_Energy_J,Total_Energy_J,Energy_Error_J
6200,    0.062000,   99.981149,   -0.608012,513378.19593754,    96.78172461,513474.97766215,   0.0156099556
6300,    0.063000,   99.980536,   -0.617819,513375.04851730,    99.92889308,513474.97741038,   0.0158617289
6400,    0.064000,   99.979913,   -0.627626,513371.85074237,   103.12641624,513474.97715860,   0.0161135026
6500,    0.065000,   99.979280,   -0.637432,513368.60261274,   106.37429409,513474.97690683,   0.0163652760
6600,    0.066000,   99.978638,   -0.647239,513365.30412841,   109.67252664,513474.97665506,   0.0166170494
6700,    0.067000,   99.977986,   -0.657046,513361.95528940,   113.02111389,513474.97640328,   0.0168688229
6800,    0.068000,   99.977324,   -0.666852,513358.55609568,   116.42005583,513474.97615151,   0.0171205965
6900,    0.069000,   99.976652,   -0.676659,513355.10654727,   119.86935247,513474.97589974,   0.0173723699
7000,    0.070000,   99.975970,   -0.686465,513351.60664416,   123.36900380,513474.97564796,   0.0176241434
7100,    0.071000,   99.975279,   -0.696272,513348.05638636,   126.91900983,513474.97539619,   0.0178759169
7200,    0.072000,   99.974578,   -0.706079,513344.45577387,   130.51937055,513474.97514442,   0.0181276903
7300,    0.073000,   99.973867,   -0.715885,513340.80480667,   134.17008597,513474.97489264,   0.0183794638
7400,    0.074000,   99.973146,   -0.725692,513337.10348479,   137.87115608,513474.97464087,   0.0186312372
7500,    0.075000,   99.972415,   -0.735499,513333.35180820,   141.62258089,513474.97438909,   0.0188830108
7600,    0.076000,   99.971675,   -0.745305,513329.54977693,   145.42436040,513474.97413732,   0.0191347842
7700,    0.077000,   99.970924,   -0.755112,513325.69739095,   149.27649460,513474.97388555,   0.0193865577
7800,    0.078000,   99.970164,   -0.764919,513321.79465028,   153.17898349,513474.97363377,   0.0196383313
7900,    0.079000,   99.969394,   -0.774725,513317.84155492,   157.13182708,513474.97338200,   0.0198901046
8000,    0.080000,   99.968615,   -0.784532,513313.83810486,   161.13502537,513474.97313023,   0.0201418782
